Marca temporal,Tipo de registro,Antibiótico,Responsable (iniciales),Fecha de recepción,"Cantidad (En caso de sensidiscos, indicar cantidad de tubos)",Fecha de apertura,Fecha de cierre,Motivo de cierre,Comentario (opcional),Fecha de vencimiento,Cantidad eliminada
6/01/2026 8:02:24,Apertura,Aztreonam (Sensidisco),SCS,,,29/08/2025,,,,,
6/01/2026 8:02:39,Apertura,Amikacina (Sensidisco),SCS,,,29/08/2025,,,,,
6/01/2026 8:02:56,Apertura,Ciprofloxacino (Sensidisco),SCS,,,9/12/2025,,,,,
6/01/2026 8:03:19,Apertura,Cefotaxima (Sensidisco),SCS,,,4/12/2025,,,,,
6/01/2026 8:05:10,Apertura,Cefoxitin (Sensidisco),SCS,,,4/12/2025,,,,,
6/01/2026 8:05:39,Apertura,Gentamicina (Sensidisco),SCS,,,18/10/2024,,,,,
6/01/2026 8:05:56,Apertura,Levofloxacino (Sensidisco),SCS,,,3/11/2025,,,,,
6/01/2026 8:06:16,Apertura,Nitrofurantoina (Sensidisco),SCS,,,20/01/2025,,,,,
6/01/2026 8:06:39,Apertura,Tetraciclina (Sensidisco),SCS,,,25/10/2025,,,,,
6/01/2026 8:06:58,Apertura,Vancomicina (Sensidisco),SCS,,,15/11/2025,,,,,
6/01/2026 8:07:14,Apertura,Linezolid (Sensidisco),SCS,,,20/11/2025,,,,,
6/01/2026 8:07:33,Apertura,Eritromicina (Sensidisco),SCS,,,26/11/2025,,,,,
6/01/2026 8:08:08,Apertura,Clindamicina (Sensidisco),SCS,,,31/07/2025,,,,,
6/01/2026 8:08:44,Apertura,Clindamicina (Sensidisco),SCS,,,4/10/2025,,,,,
6/01/2026 8:09:01,Apertura,Clindamicina (Sensidisco),SCS,,,27/11/2025,,,,,
6/01/2026 8:09:32,Apertura,Ceftazidima/Avibactam (Sensidisco),SCS,,,4/06/2024,,,,,
6/01/2026 8:11:19,Apertura,Azitromicina (Sensidisco),SCS,,,13/11/2025,,,,,
6/01/2026 8:11:35,Apertura,Imipenem (Sensidisco),SCS,,,18/12/2025,,,,,
6/01/2026 8:11:56,Apertura,Cefadroxilo (Sensidisco),SCS,,,22/12/2025,,,,,
6/01/2026 8:12:10,Apertura,Cefepime (Sensidisco),SCS,,,22/09/2025,,,,,
6/01/2026 8:12:26,Apertura,Ceftazidima (Sensidisco),SCS,,,14/10/2025,,,,,
6/01/2026 8:13:08,Apertura,Ampicilina (Sensidisco),SCS,,,24/12/2025,,,,,
6/01/2026 8:13:26,Apertura,Piperacilina/Tazobactam (Sensidisco),SCS,,,25/11/2025,,,,,
6/01/2026 8:13:54,Apertura,Ceftriaxona (E-test),SCS,,,26/11/2025,,,,,
6/01/2026 8:14:14,Apertura,Cotrimoxazol (E-test),SCS,,,16/12/2025,,,,,
6/01/2026 8:19:12,Apertura,Cotrimoxazol (E-test),SCS,,,5/01/2026,,,,,
6/01/2026 15:56:48,Apertura,Piperacilina/Tazobactam (Sensidisco),ADT,,,6/01/2026,,,,,
7/01/2026 15:42:21,Apertura,Azitromicina (Sensidisco),SCS,,,13/09/2025,,,,,
8/01/2026 11:52:09,Apertura,Amoxicilina/Ac. clavulánico (Sensidisco),GCE,,,8/01/2026,,,,,
8/01/2026 12:36:33,Recepción,Amikacina (Sensidisco),SCS,12/12/2023,2,,,,,3/08/2026,
8/01/2026 12:37:11,Recepción,Amikacina (Sensidisco),SCS,27/10/2025,3,,,,,30/09/2026,
8/01/2026 12:37:47,Recepción,Amikacina (Sensidisco),SCS,11/06/2025,5,,,,,24/01/2028,
8/01/2026 12:38:50,Recepción,Amoxicilina/Ac. clavulánico (Sensidisco),SCS,22/04/2025,4,,,,,22/01/2026,
8/01/2026 12:39:38,Recepción,Ampicilina (Sensidisco),SCS,4/09/2025,5,,,,,29/04/2028,
8/01/2026 12:40:19,Recepción,Ampicilina/Sulbactam (Sensidisco),SCS,24/09/2024,4,,,,,8/04/2027,
8/01/2026 12:40:56,Recepción,Azitromicina (Sensidisco),SCS,11/06/2025,5,,,,,26/09/2027,
8/01/2026 12:44:13,Recepción,Aztreonam (Sensidisco),SCS,28/12/2023,2,,,,,21/08/2026,
8/01/2026 12:45:10,Recepción,Aztreonam (Sensidisco),SCS,28/12/2023,5,,,,,19/09/2026,
8/01/2026 12:45:45,Recepción,Cefadroxilo (Sensidisco),SCS,24/09/2024,4,,,,,31/05/2027,
8/01/2026 12:46:41,Recepción,Cefepime (Sensidisco),SCS,23/01/2025,3,,,,,26/09/2027,
8/01/2026 12:47:16,Recepción,Cefotaxima (Sensidisco),SCS,27/10/2025,2,,,,,30/04/2026,
8/01/2026 12:47:46,Recepción,Cefotaxima (Sensidisco),SCS,22/04/2025,5,,,,,17/10/2026,
8/01/2026 12:48:19,Recepción,Cefoxitin (Sensidisco),SCS,24/09/2024,6,,,,,17/04/2027,
8/01/2026 12:49:07,Recepción,Ceftazidima (Sensidisco),SCS,11/06/2025,4,,,,,12/03/2026,
8/01/2026 12:51:17,Recepción,Cloranfenicol (Sensidisco),SCS,23/01/2025,4,,,,,22/03/2027,
8/01/2026 12:52:08,Recepción,Clindamicina (Sensidisco),SCS,22/04/2025,4,,,,,22/09/2027,
8/01/2026 12:52:46,Recepción,Eritromicina (Sensidisco),SCS,11/06/2025,5,,,,,13/12/2027,
8/01/2026 12:54:13,Recepción,Imipenem (Sensidisco),SCS,4/09/2025,5,,,,,8/04/2026,
8/01/2026 12:54:51,Recepción,Gentamicina (Sensidisco),SCS,27/10/2025,3,,,,,31/10/2026,
8/01/2026 12:55:40,Recepción,Gentamicina (Sensidisco),SCS,8/09/2023,4,,,,,23/02/2026,
8/01/2026 12:56:20,Recepción,Gentamicina (Sensidisco),SCS,28/12/2023,5,,,,,17/09/2026,
8/01/2026 12:56:53,Recepción,Levofloxacino (Sensidisco),SCS,11/06/2025,5,,,,,20/01/2028,
8/01/2026 12:57:51,Recepción,Linezolid (Sensidisco),SCS,22/04/2025,3,,,,,3/02/2027,
8/01/2026 12:59:57,Recepción,Meropenem (Sensidisco),SCS,11/06/2025,5,,,,,3/04/2026,
8/01/2026 13:00:40,Recepción,Nitrocefin (Sensidisco),SCS,29/05/2025,1,,,,,31/10/2025,
8/01/2026 13:01:07,Recepción,Nitrocefin (Sensidisco),SCS,29/05/2025,5,,,,,31/10/2025,
8/01/2026 13:02:54,Recepción,Oxacilina (Sensidisco),SCS,24/09/2024,3,,,,,13/02/2027,
8/01/2026 13:03:23,Recepción,Oxacilina (Sensidisco),SCS,27/10/2025,2,,,,,28/02/2026,
8/01/2026 13:08:12,Recepción,Nitrofurantoina (Sensidisco),SCS,24/09/2024,5,,,,,24/04/2027,
8/01/2026 13:14:45,Recepción,Piperacilina/Tazobactam (Sensidisco),SCS,28/08/2023,2,,,,,31/01/2026,
8/01/2026 13:15:33,Recepción,Piperacilina/Tazobactam (Sensidisco),SCS,24/09/2024,4,,,,,17/02/2027,
8/01/2026 13:16:21,Recepción,Teicoplanina (Sensidisco),SCS,1/01/2025,4,,,,,16/08/2027,
8/01/2026 13:18:39,Recepción,Tetraciclina (Sensidisco),SCS,23/01/2025,4,,,,,26/04/2027,
8/01/2026 13:20:45,Recepción,Vancomicina (Sensidisco),SCS,23/01/2025,5,,,,,9/07/2027,
8/01/2026 13:21:13,Recepción,Vancomicina (Sensidisco),SCS,27/10/2025,2,,,,,30/09/2026,
9/03/2026 13:37:59,Apertura,Piperacilina/Tazobactam (Sensidisco),ADT,,,9/03/2026,,,,,
8/01/2026 13:32:58,Recepción,Optoquina (Sensidisco),SCS,27/10/2025,3,,,,,30/06/2026,
8/01/2026 13:33:35,Recepción,Cotrimoxazol (E-test),SCS,26/11/2025,1,,,,,16/07/2027,
8/01/2026 13:34:07,Recepción,Cotrimoxazol (E-test),SCS,23/12/2025,1,,,,,16/07/2027,
8/01/2026 13:34:35,Recepción,Cotrimoxazol (E-test),SCS,6/01/2026,1,,,,,16/07/2027,
8/01/2026 13:36:33,Recepción,Ceftriaxona (E-test),SCS,4/09/2025,2,,,,,9/10/2027,
8/01/2026 13:37:05,Recepción,Ertapenem (E-test),SCS,4/09/2025,1,,,,,9/03/2028,
8/01/2026 13:37:37,Recepción,Penicilina (E-test),SCS,22/09/2025,1,,,,,7/10/2027,
8/01/2026 13:38:12,Recepción,Meropenem (E-test),SCS,30/09/2025,1,,,,,26/11/2027,
